PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Ciências Agrárias;9022;Licenciatura 1.º ciclo;49;32;17;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia do Ambiente;9099;Licenciatura 1.º ciclo;;;;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia Zootécnica;9287;Mestrado 2.º ciclo;20;12;8;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Gestão e Conservação da Natureza;9301;Mestrado 2.º ciclo;14;5;9;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Tecnologia e Segurança Alimentar;9445;Mestrado 2.º ciclo;10;4;6;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia Agronómica;9520;Mestrado 2.º ciclo;14;9;5;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Natureza e Património;L121;Licenciatura 1.º ciclo;61;27;34;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia e Gestão de Sistemas de Água;M146;Mestrado 2.º ciclo;7;6;1;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Filosofia Contemporânea - Valores e Sociedade;6129;Mestrado 2.º ciclo;7;3;4;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História Insular e Atlântica (séculos XV-XX);6168;Mestrado 2.º ciclo;4;1;3;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Tradução e Assessoria Linguística;6836;Mestrado 2.º ciclo;6;3;3;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;6915;Mestrado 2.º ciclo;29;3;26;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História;9181;Licenciatura 1.º ciclo;56;23;33;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Psicologia;9219;Licenciatura 1.º ciclo;145;26;119;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Serviço Social;9238;Licenciatura 1.º ciclo;155;22;133;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Sociologia;9240;Licenciatura 1.º ciclo;94;24;70;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Internacionais;9329;Mestrado 2.º ciclo;1;1;0;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Património Cultural;9787;Licenciatura 1.º ciclo;1;1;0;2018/19
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura 1.º ciclo;164;48;116;2018/19
